Category: All categories

DMA,victory ranch: (9/8/23 - 9/8/25)
Idaho Falls-Pocatello ID,100
Zanesville OH,100
Salt Lake City UT,57
Memphis TN,57
Quincy IL-Hannibal MO-Keokuk IA,30
Dothan AL,28
Columbus-Tupelo-West Point MS,15
Waco-Temple-Bryan TX,11
Columbia SC,8
Reno NV,8
Chicago IL,6
Los Angeles CA,6
Boise ID,6
Austin TX,5
Charleston SC,4
Denver CO,4
West Palm Beach-Ft. Pierce FL,4
Nashville TN,4
Phoenix AZ,4
Las Vegas NV,3
Dallas-Ft. Worth TX,3
Houston TX,3
San Antonio TX,3
Oklahoma City OK,2
San Diego CA,2
Kansas City MO,2
San Francisco-Oakland-San Jose CA,2
Atlanta GA,2
Raleigh-Durham (Fayetteville) NC,1
Indianapolis IN,1
Minneapolis-St. Paul MN,1
Philadelphia PA,1
Cleveland-Akron (Canton) OH,1
Tampa-St. Petersburg (Sarasota) FL,1
Charlotte NC,1
Sacramento-Stockton-Modesto CA,1
Seattle-Tacoma WA,1
New York NY,1
Washington DC (Hagerstown MD),1
Boston MA-Manchester NH,<1
Monroe LA-El Dorado AR,
Spokane WA,
Dayton OH,
Springfield-Holyoke MA,
Norfolk-Portsmouth-Newport News VA,
Greenville-New Bern-Washington NC,
Traverse City-Cadillac MI,
Toledo OH,
Rochester NY,
Watertown NY,
Wilmington NC,
Lansing MI,
Presque Isle ME,
Marquette MI,
Wheeling WV-Steubenville OH,
Syracuse NY,
Richmond-Petersburg VA,
Knoxville TN,
Lima OH,
Bluefield-Beckley-Oak Hill WV,
Bangor ME,
Jacksonville FL,
Grand Rapids-Kalamazoo-Battle Creek MI,
Charleston-Huntington WV,
Elmira NY,
Harrisburg-Lancaster-Lebanon-York PA,
Greenville-Spartanburg SC-Asheville NC-Anderson SC,
Harrisonburg VA,
Florence-Myrtle Beach SC,
Ft. Myers-Naples FL,
Roanoke-Lynchburg VA,
Johnstown-Altoona PA,
Chattanooga TN,
Salisbury MD,
Wilkes Barre-Scranton PA,
Terre Haute IN,
Lafayette IN,
Alpena MI,
Charlottesville VA,
South Bend-Elkhart IN,
Gainesville FL,
Youngstown OH,
Parkersburg WV,
Clarksburg-Weston WV,
Corpus Christi TX,
Columbus OH,
Joplin MO-Pittsburg KS,
Columbia-Jefferson City MO,
Topeka KS,
Orlando-Daytona Beach-Melbourne FL,
St. Louis MO,
Rockford IL,
Rochester MN-Mason City IA-Austin MN,
Shreveport LA,
Hartford & New Haven CT,
Albany-Schenectady-Troy NY,
Milwaukee WI,
Tri-Cities TN-VA,
Springfield MO,
New Orleans LA,
Tallahassee FL-Thomasville GA,
Sioux City IA,
Louisville KY,
Victoria TX,
Wichita Falls TX & Lawton OK,
Portland-Auburn ME,
Birmingham AL,
Ottumwa IA-Kirksville MO,
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,
Odessa-Midland TX,
Amarillo TX,
Miami-Ft. Lauderdale FL,
Harlingen-Weslaco-Brownsville-McAllen TX,
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,
St. Joseph MO,
Jackson TN,
Utica NY,
Albany GA,
Lafayette LA,
Lake Charles LA,
Alexandria LA,
Greenwood-Greenville MS,
Champaign & Springfield-Decatur IL,
Evansville IN,
Burlington VT-Plattsburgh NY,
Lexington KY,
Omaha NE,
Panama City FL,
Sherman TX-Ada OK,
Green Bay-Appleton WI,
Columbus GA,
San Angelo TX,
Abilene-Sweetwater TX,
Madison WI,
Ft. Smith-Fayetteville-Springdale-Rogers AR,
Tulsa OK,
Providence RI-New Bedford MA,
Peoria-Bloomington IL,
Duluth MN-Superior WI,
Wichita-Hutchinson KS,
Des Moines-Ames IA,
Davenport IA-Rock Island-Moline IL,
Mobile AL-Pensacola (Ft. Walton Beach) FL,
Minot-Bismarck-Dickinson(Williston) ND,
Huntsville-Decatur (Florence) AL,
Beaumont-Port Arthur TX,
Little Rock-Pine Bluff AR,
Montgomery (Selma) AL,
La Crosse-Eau Claire WI,
Wausau-Rhinelander WI,
Tyler-Longview(Lufkin & Nacogdoches) TX,
Hattiesburg-Laurel MS,
Meridian MS,
Baton Rouge LA,
Augusta GA,
Jackson MS,
Lincoln & Hastings-Kearney NE,
Fargo-Valley City ND,
Sioux Falls(Mitchell) SD,
Jonesboro AR,
Bowling Green KY,
Mankato MN,
North Platte NE,
Anchorage AK,
Honolulu HI,
Fairbanks AK,
Biloxi-Gulfport MS,
Juneau AK,
Laredo TX,
Greensboro-High Point-Winston Salem NC,
Colorado Springs-Pueblo CO,
Erie PA,
Butte-Bozeman MT,
Great Falls MT,
"Billings, MT",
Cincinnati OH,
Buffalo NY,
Cheyenne WY-Scottsbluff NE,
Twin Falls ID,
Missoula MT,
Rapid City SD,
El Paso TX,
Helena MT,
Casper-Riverton WY,
Flint-Saginaw-Bay City MI,
Yuma AZ-El Centro CA,
Grand Junction-Montrose CO,
Tucson (Sierra Vista) AZ,
Albuquerque-Santa Fe NM,
Glendive MT,
Bakersfield CA,
Eugene OR,
Eureka CA,
Baltimore MD,
Palm Springs CA,
Ft. Wayne IN,
Yakima-Pasco-Richland-Kennewick WA,
Pittsburgh PA,
Medford-Klamath Falls OR,
Savannah GA,
Portland OR,
Bend OR,
Detroit MI,
Monterey-Salinas CA,
Macon GA,
Santa Barbara-Santa Maria-San Luis Obispo CA,
Binghamton NY,
Fresno-Visalia CA,
Chico-Redding CA,
Lubbock TX,
